ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YFR028C,Both,8.55E+03,-,0.68,0
YFR029W,None,-,-,0.41,0
YFR030W,Both,1.58E+03,-,0.85,0
YFR031C,Both,3.29E+03,-,0.8,0
YFR031C-A,Both,#,-,0.51,0
YFR032C,None,-,-,0.43,0
YFR032C-A,Both,5.11E+04,-,0.38,0
YFR033C,Both,4.49E+03,-,0.65,0
YFR034C,GFP,-,-,0.03,0
YFR035C,None,-,-,0.03,1
YFR036W,Both,%,-,0.29,0
YFR037C,Both,3.38E+03,3.41E+02,0.57,0
YFR038W,None,-,-,0.78,0
YFR039C,Both,3.17E+03,-,0.7,0
YFR040W,Both,5.96E+03,-,0.74,0
YFR041C,GFP,-,-,0.59,0
YFR042W,None,-,-,0.12,0
YFR043C,TAP,%,-,0.58,0
YFR044C,Both,2.23E+04,-,0.79,0
YFR045W,None,-,-,0.31,0
YFR046C,Both,1.30E+03,-,0.59,0
YFR047C,Both,2.66E+03,-,0.67,0
YFR048W,Both,6.56E+02,-,0.7,0
YFR049W,Both,2.05E+03,-,0.33,0
YFR050C,Both,1.69E+04,-,0.6,0
YFR051C,Both,1.80E+04,-,0.7,0
YFR052W,Both,9.89E+03,-,0.63,0
YFR053C,Both,4.08E+04,-,0.77,0
YFR054C,TAP,3.00E+02,-,0.25,0
YFR055W,TAP,2.61E+03,-,0.6,0
YFR056C,None,-,-,0.01,1
YFR057W,None,-,-,0.26,0
YGL001C,Both,2.58E+03,-,0.71,0
YGL002W,None,-,-,0.58,0
YGL003C,None,-,-,0.62,0
YGL004C,Both,2.21E+03,-,0.68,0
YGL005C,Both,1.36E+03,-,0.57,0
YGL006W,Both,9.89E+01,-,0.86,0
YGL007W,None,-,-,0,1
YGL008C,Both,1.26E+06,-,0.66,0
YGL009C,Both,9.63E+04,-,0.82,0
YGL010W,Both,4.86E+02,-,0.29,0
YGL011C,Both,1.52E+04,-,0.71,0
YGL012W,Both,1.64E+03,-,0.41,0
YGL013C,Both,1.30E+03,-,0.76,0
YGL014W,Both,7.21E+02,-,0.68,0
YGL015C,None,-,-,0.38,0
YGL016W,Both,9.76E+03,-,0.73,0
YGL017W,Both,2.03E+03,-,0.58,0
YGL018C,Both,2.01E+03,-,0.59,0
YGL019W,Both,8.12E+03,-,0.51,0
YGL020C,Both,2.25E+03,-,0.59,0
YGL021W,Both,2.19E+03,-,0.58,0
YGL022W,Both,3.00E+03,-,0.48,0
YGL023C,GFP,-,-,0.4,0
YGL024W,None,-,-,0.02,1
YGL025C,Both,5.56E+02,-,0.36,0
YGL026C,Both,1.55E+04,-,0.73,0
YGL027C,TAP,2.84E+03,-,0.81,0
YGL028C,Both,2.26E+04,-,0.54,0
YGL029W,Both,2.34E+03,-,0.55,0
YGL030W,TAP,5.93E+04,-,0.57,0
YGL031C,Both,2.47E+05,-,0.59,0
YGL032C,Both,1.16E+03,-,0.08,0
YGL033W,None,-,-,0.66,0
YGL034C,None,-,-,0.23,1
YGL035C,Both,8.30E+02,-,0.46,0
YGL036W,Both,4.86E+02,-,0.66,0
YGL037C,Both,7.72E+03,-,0.62,0
YGL038C,Both,9.49E+03,-,0.67,0
YGL039W,Both,2.34E+03,-,0.74,0
YGL040C,Both,1.16E+04,1.21E+03,0.64,0
YGL041C,None,-,-,0.05,1
YGL042C,None,-,-,0.07,1
YGL043W,Both,6.26E+03,-,0.73,0
YGL044C,TAP,6.35E+03,-,0.46,0
YGL045W,TAP,7.84E+02,-,0.6,0
YGL046W,Both,3.04E+03,-,0.29,0
YGL047W,Both,1.95E+03,-,0.38,0
YGL048C,Both,4.70E+03,-,0.75,0
YGL049C,Both,3.39E+03,-,0.86,0
YGL050W,TAP,3.39E+03,-,0.67,0
YGL051W,None,-,-,0.36,0
YGL052W,None,-,-,0.09,1
YGL053W,Both,1.25E+03,-,0.53,0
YGL054C,Both,7.11E+03,-,0.5,0
YGL055W,Both,#,-,0.64,0
YGL056C,Both,2.12E+04,-,0.51,0
YGL057C,Both,%,-,0.59,0
YGL058W,Both,2.77E+03,-,0.64,0
YGL059W,Both,4.50E+02,-,0.62,0
YGL060W,Both,3.87E+03,-,0.73,0
YGL061C,Both,9.96E+02,-,0.58,0
YGL062W,Both,1.25E+04,-,0.79,0
YGL063W,None,-,-,0.02,0
YGL064C,Both,7.36E+02,-,0.68,0
YGL065C,Both,1.84E+03,-,0.81,0
YGL066W,Both,4.86E+02,-,0.6,0
YGL067W,Both,8.46E+02,-,0.65,0
YGL068W,Both,6.94E+03,-,0.68,0
YGL069C,None,-,-,0.37,0
YGL070C,Both,2.44E+03,-,0.24,0
YGL071W,Both,2.73E+03,-,0.6,0
YGL072C,None,-,-,-0.27,1
YGL073W,GFP,-,-,0.58,0
YGL074C,None,-,-,-0.01,1
YGL075C,GFP,-,-,0.72,0
YGL076C,Both,1.01E+05,-,0.61,0
YGL077C,Both,#,-,0.56,0
YGL078C,Both,3.89E+04,-,0.84,0
YGL079W,Both,1.63E+03,-,0.64,0
YGL080W,Both,3.96E+02,-,0.42,0
YGL081W,None,-,-,0.62,0
YGL082W,Both,7.62E+03,-,0.65,0
YGL083W,Both,1.48E+03,-,0.73,0
YGL084C,Both,6.72E+02,-,0.47,0
YGL085W,Both,7.04E+02,-,0.48,0
YGL086W,Both,6.56E+02,-,0.67,0
YGL087C,Both,2.76E+03,-,0.52,0
YGL088W,None,-,-,-0.03,1
YGL089C,None,-,-,0.47,0
YGL090W,Both,8.76E+02,-,0.67,0
YGL091C,GFP,-,-,0.67,0
YGL092W,Both,4.63E+03,-,0.87,0
YGL093W,GFP,-,-,0.72,0
YGL094C,Both,1.51E+03,-,0.77,0
YGL095C,Both,5.66E+03,-,0.73,0
YGL096W,None,-,-,0.36,0
YGL097W,Both,1.21E+04,1.40E+03,0.77,0
YGL098W,Both,9.37E+02,-,0.65,0
YGL099W,Both,1.94E+04,-,0.86,0
YGL100W,TAP,9.52E+02,-,0.64,0
YGL101W,Both,1.50E+03,-,0.71,0
YGL102C,None,-,-,0.11,1
YGL103W,None,-,-,0.53,0
YGL104C,None,-,-,0.39,0
YGL105W,Both,5.77E+04,-,0.78,0
YGL106W,None,-,-,0.59,0
YGL107C,Both,4.80E+03,-,0.76,0
YGL108C,Both,2.43E+03,-,0.46,0
YGL109W,None,-,-,0.09,1
YGL110C,Both,6.30E+03,-,0.76,0
YGL111W,Both,2.74E+03,-,0.74,0
YGL112C,Both,6.51E+03,1.29E+03,0.77,0
YGL113W,Both,1.25E+02,-,0.59,0
YGL114W,None,-,-,0.49,0
YGL115W,Both,1.17E+04,-,0.62,0
YGL116W,GFP,-,-,0.68,0
YGL117W,TAP,1.49E+02,-,0.48,0
YGL118C,None,-,-,0.36,0
YGL119W,Both,9.52E+02,-,0.73,0
YGL120C,Both,1.69E+04,1.11E+03,0.85,0
YGL121C,None,-,-,0.5,0
YGL122C,Both,9.67E+03,2.20E+03,0.54,0
YGL123W,None,-,-,0.6,0
YGL124C,Both,%,-,0.58,0
YGL125W,Both,8.60E+03,-,0.52,0
YGL126W,Both,5.38E+02,-,-0.1,0
YGL127C,Both,4.68E+02,-,0.19,0
YGL128C,Both,%,-,0.17,0
YGL129C,Both,1.30E+03,-,0.66,0
YGL130W,Both,2.79E+02,-,0.69,0
YGL131C,Both,#,-,0.69,0
YGL132W,None,-,-,0.12,1
YGL133W,Both,2.61E+03,-,0.86,0
YGL134W,Both,2.17E+02,-,0.67,0
YGL135W,Both,2.65E+05,-,0.56,0
YGL136C,None,-,-,0.6,0
YGL137W,Both,1.29E+05,-,0.87,0
YGL138C,None,-,-,0.48,0
YGL139W,GFP,-,-,0.61,0
YGL140C,Both,1.08E+03,-,0.76,0
YGL141W,Both,3.12E+03,-,0.8,0
YGL142C,None,-,-,0.37,0
YGL143C,Both,4.14E+02,-,0.75,0
YGL144C,TAP,%,-,0.78,0
YGL145W,Both,6.02E+03,-,0.68,0
YGL146C,None,-,-,0.28,0
YGL147C,Both,5.24E+04,-,0.52,0
YGL148W,Both,2.31E+03,-,0.64,0
YGL149W,None,-,-,-0.16,1
YGL150C,Both,6.28E+03,-,0.89,0
YGL151W,Both,2.49E+03,-,0.78,0
YGL152C,None,-,-,0.03,1
YGL153W,Both,2.57E+03,-,0.75,0
YGL154C,TAP,6.23E+02,-,0.57,0
YGL155W,Both,3.94E+03,7.55E+01,0.4,0
YGL156W,Both,3.19E+02,-,0.81,0
YGL157W,Both,2.95E+03,-,0.76,0
YGL158W,None,-,-,0.74,0
YGL159W,TAP,1.72E+02,-,0.66,0
YGL160W,None,-,-,0.45,0
YGL161C,Both,9.37E+02,-,0.5,0
YGL162W,Both,1.10E+03,-,0.32,0
YGL163C,Both,%,-,0.82,0
YGL164C,Both,3.67E+03,-,0.72,0
YGL165C,None,-,-,0.07,1
YGL166W,Both,1.76E+03,-,0.42,0
YGL167C,Both,6.90E+03,-,0.81,0
YGL168W,None,-,-,0.02,1
YGL169W,Both,5.38E+02,-,0.58,0
YGL170C,None,-,-,0.71,0
YGL171W,None,-,-,0.81,0
YGL172W,Both,4.76E+03,4.45E+02,0.44,0
YGL173C,Both,1.17E+04,-,0.9,0
YGL174W,GFP,-,-,0.63,0
YGL175C,Both,1.03E+03,-,0.65,0
YGL176C,None,-,-,0.67,0
YGL177W,None,-,-,0.2,1
YGL178W,Both,1.24E+03,-,0.59,0
YGL179C,None,-,-,0.63,0
YGL180W,Both,1.07E+03,-,0.81,0
YGL181W,Both,9.37E+02,-,0.45,0
YGL182C,None,-,-,0.1,1
YGL183C,None,-,-,0.54,0
YGL184C,Both,%,-,0.56,0
YGL185C,Both,1.43E+03,-,0.59,0
YGL186C,GFP,-,-,0.42,0
YGL187C,Both,9.41E+03,-,0.62,0
YGL188C,None,-,-,0.21,1
YGL189C,Both,1.63E+04,-,0.46,0
YGL190C,Both,8.60E+03,-,0.68,0
YGL191W,None,-,-,0.6,0
YGL192W,None,-,-,0.61,0
YGL193C,None,-,-,-0.07,1
YGL194C,Both,4.89E+03,-,0.61,0
YGL195W,Both,7.33E+03,-,0.87,0
YGL196W,None,-,-,0.46,0
YGL197W,Both,3.96E+02,-,0.75,0
YGL198W,None,-,-,0.05,1
YGL199C,None,-,-,0.16,1
YGL200C,Both,2.68E+04,-,0.51,0
YGL201C,Both,1.34E+04,-,0.83,0
YGL202W,Both,1.77E+03,-,0.78,0
YGL203C,Both,8.55E+03,-,0.76,0
YGL204C,None,-,-,0.18,1
YGL205W,None,-,-,0.75,0
YGL206C,Both,2.87E+04,-,0.87,0
YGL207W,Both,1.85E+04,-,0.92,0
YGL208W,TAP,3.00E+02,-,0.58,0
YGL209W,Both,5.04E+02,-,0.42,0
YGL210W,Both,4.30E+03,-,0.65,0
YGL211W,Both,%,-,0.34,0
YGL212W,Both,2.36E+03,-,0.56,0
YGL213C,Both,1.71E+03,-,0.69,0
YGL214W,None,-,-,0.33,0
YGL215W,None,-,-,0.47,0
YGL216W,Both,7.36E+02,-,0.69,0
YGL217C,None,-,-,0.16,1
YGL218W,None,-,-,0.27,0
YGL219C,Both,3.77E+02,-,0.51,0
YGL220W,Both,2.05E+03,-,0.33,0
YGL221C,Both,6.00E+03,-,0.55,0
YGL222C,GFP,-,-,0.37,0
YGL223C,Both,2.19E+03,-,0.5,0
YGL224C,None,-,-,0.63,0
YGL225W,Both,3.19E+04,-,0.52,0
YGL226C-A,Both,1.01E+03,-,0.36,0
YGL226W,Both,1.17E+03,-,0.2,0
YGL227W,Both,1.50E+03,-,0.83,0
YGL228W,TAP,8.64E+03,-,0.7,0
YGL229C,Both,2.79E+02,-,0.76,0
YGL230C,None,-,-,0.45,0
YGL231C,Both,1.32E+03,-,0.47,0
YGL232W,Both,2.63E+03,-,0.7,0
YGL233W,Both,4.28E+03,-,0.78,0
YGL234W,Both,3.58E+04,-,0.69,0
YGL235W,None,-,-,0.18,0
YGL236C,None,-,-,0.52,0
YGL237C,Both,%,-,0.51,0
YGL238W,Both,2.35E+04,1.70E+03,0.79,0
YGL239C,None,-,-,0.19,1
YGL240W,Both,1.36E+03,-,0.4,0
YGL241W,Both,2.94E+03,-,0.75,0
YGL242C,None,-,-,0.75,0
YGL243W,None,-,-,0.67,0
YGL244W,Both,6.51E+03,-,0.78,0
YGL245W,Both,4.87E+04,-,0.78,0
YGL246C,Both,4.03E+03,-,0.74,0
YGL247W,Both,1.25E+02,-,0.4,0
YGL248W,TAP,1.40E+03,-,0.55,0
YGL249W,GFP,-,-,0.7,0
YGL250W,Both,1.82E+03,-,0.64,0
YGL251C,None,-,-,0.71,0
YGL252C,Both,3.26E+03,-,0.71,0
YGL253W,Both,1.14E+05,-,0.73,0
YGL254W,Both,2.12E+03,-,0.36,0
YGL255W,Both,#,-,0.52,0
YGL256W,Both,1.25E+02,-,0.66,0
YGL257C,TAP,1.17E+03,-,0.6,0
YGL258W,None,-,-,0.58,0
YGL258W-A,None,-,-,0.34,0
YGL259W,None,-,-,0.27,0
YGL260W,None,-,-,-0.06,1
YGL261C,None,-,-,0.48,0
YGL262W,None,-,-,0.31,0
YGL263W,None,-,-,0.41,0
YGR001C,Both,3.06E+03,-,0.73,0
YGR002C,Both,2.23E+03,-,0.66,0
YGR003W,Both,1.72E+02,-,0.62,0
YGR004W,Both,2.38E+02,-,0.48,0
YGR005C,TAP,5.20E+02,1.23E+02,0.79,0
YGR006W,None,-,-,0.54,0
YGR007W,Both,4.70E+03,-,0.52,0
YGR008C,Both,5.33E+03,-,0.62,0
YGR009C,None,-,-,0.74,0
YGR010W,Both,1.43E+03,-,0.69,0
YGR011W,None,-,-,0.04,1
YGR012W,Both,4.65E+03,-,0.64,0
YGR013W,Both,7.82E+02,2.66E+02,0.66,0
YGR014W,Both,1.32E+03,-,0.32,0
YGR015C,GFP,-,-,0.47,0
YGR016W,TAP,2.38E+02,-,0.42,0
YGR017W,Both,2.84E+03,-,0.56,0
YGR018C,None,-,-,0.12,1
YGR019W,Both,5.73E+02,-,0.75,0
YGR020C,Both,4.05E+03,-,0.66,0
YGR021W,Both,1.78E+03,-,0.51,0
YGR022C,None,-,-,0.42,0
YGR023W,TAP,%,-,0.17,0
YGR024C,Both,1.17E+03,-,0.54,0
YGR025W,None,-,-,0.16,1
YGR026W,Both,#,-,0.4,0
YGR027C,Both,3.22E+05,-,0.55,0
YGR028W,Both,3.53E+03,-,0.68,0
YGR029W,None,-,-,0.52,0
YGR030C,Both,3.18E+03,-,0.55,0
YGR031W,Both,7.40E+03,-,0.3,0
YGR032W,TAP,#,-,0.75,0
YGR033C,Both,3.77E+03,-,0.45,0
YGR034W,Both,3.32E+04,-,0.56,0
YGR035C,None,-,-,0.38,0
YGR036C,Both,#,-,0.28,0
YGR037C,Both,8.50E+03,-,0.61,0
YGR038W,Both,2.80E+03,-,0.51,0
YGR039W,None,-,-,0.11,1
YGR040W,Both,5.48E+03,-,0.58,0
YGR041W,Both,9.52E+02,-,0.61,0
YGR042W,Both,%,-,0.61,0
YGR043C,Both,1.92E+03,-,0.81,0
YGR044C,GFP,-,-,0.37,0
YGR045C,None,-,-,0.09,1
YGR046W,Both,1.95E+02,-,0.61,0
YGR047C,Both,8.76E+02,-,0.75,0
YGR048W,Both,3.53E+03,-,0.68,0
YGR049W,Both,3.21E+03,-,0.45,0
YGR050C,None,-,-,0.07,1
YGR051C,None,-,-,-0.03,1
YGR052W,Both,3.39E+02,-,0.63,0
YGR053C,None,-,-,0.67,0
YGR054W,None,-,-,0.8,0
YGR055W,Both,#,-,0.6,0
YGR056W,TAP,2.59E+02,-,0.69,0
YGR057C,TAP,6.56E+02,-,0.52,0
YGR058W,Both,1.63E+03,-,0.56,0
YGR059W,None,-,-,0.75,0
YGR060W,Both,7.71E+04,-,0.51,0
YGR061C,Both,4.08E+04,-,0.83,0
YGR062C,Both,4.68E+02,-,0.16,0
YGR063C,Both,4.49E+03,-,0.4,0
YGR064W,None,-,-,-0.07,1
YGR065C,Both,%,-,0.57,0
YGR066C,None,-,-,0.69,0
YGR067C,None,-,-,0.59,0
YGR068C,Both,1.97E+03,-,0.38,0
YGR069W,None,-,-,0.03,1
YGR070W,None,-,-,0.69,0
YGR071C,Both,1.05E+03,-,0.56,0
YGR072W,Both,1.25E+03,-,0.67,0
YGR073C,None,-,-,0,1
YGR074W,Both,2.40E+03,-,0.42,0
YGR075C,Both,2.38E+03,-,0.62,0
YGR076C,Both,1.55E+03,-,0.54,0
YGR077C,TAP,5.38E+02,-,0.37,0
YGR078C,Both,6.55E+03,-,0.47,0
YGR079W,None,-,-,0.52,0
YGR080W,Both,1.47E+03,-,0.64,0
YGR081C,Both,3.67E+03,-,0.74,0
YGR082W,Both,5.68E+03,-,0.63,0
YGR083C,Both,1.03E+04,1.00E+03,0.76,0
YGR084C,Both,1.60E+04,-,0.53,0
YGR085C,Both,2.12E+04,-,0.62,0
YGR086C,Both,1.15E+05,-,0.78,0
YGR087C,Both,1.52E+03,-,0.69,0
YGR088W,Both,3.19E+02,-,0.77,0
YGR089W,Both,9.96E+02,-,0.72,0
YGR090W,Both,3.26E+03,-,0.87,0
YGR091W,Both,1.26E+03,1.35E+02,0.76,0
YGR092W,Both,3.50E+03,-,0.74,0
YGR093W,Both,1.27E+03,-,0.69,0
YGR094W,Both,3.58E+02,-,0.83,0
YGR095C,Both,1.08E+04,-,0.59,0
YGR096W,GFP,-,-,0.28,0
YGR097W,Both,%,-,0.72,0
YGR098C,Both,%,-,0.57,0
YGR099W,TAP,6.38E+02,1.52E+02,0.57,0
YGR100W,Both,7.68E+02,-,0.81,0
YGR101W,Both,#,-,0.17,0
YGR102C,Both,1.72E+02,-,0.5,0
YGR103W,Both,4.53E+03,-,0.88,0
YGR104C,Both,1.01E+03,-,0.59,0
YGR105W,Both,1.48E+03,-,0.29,0
YGR106C,Both,1.28E+04,-,0.7,0
YGR107W,None,-,-,-0.12,1
YGR108W,Both,3.00E+02,-,0.74,0
YGR109C,None,-,-,0.67,0
YGR110W,None,-,-,0.57,0
YGR111W,Both,7.68E+02,-,0.67,0
YGR112W,Both,6.23E+02,-,0.58,0
YGR113W,None,-,-,0.66,0
YGR114C,None,-,-,-0.06,1
YGR115C,None,-,-,0.15,0
YGR116W,Both,8.89E+03,-,0.86,0
YGR117C,Both,1.28E+03,-,0.67,0
YGR118W,Both,1.06E+04,-,0.56,0
YGR119C,Both,9.31E+03,1.12E+03,0.45,0
YGR120C,Both,3.27E+03,-,0.59,0
YGR121C,Both,#,-,0.39,0
YGR122C-A,None,-,-,0.12,1
YGR122W,Both,#,-,0.5,0
YGR123C,Both,6.99E+03,-,0.8,0
YGR124W,Both,5.82E+04,-,0.74,0
YGR125W,Both,1.42E+03,-,0.66,0
YGR126W,GFP,-,-,0.66,0
YGR127W,None,-,-,0.67,0
YGR128C,Both,1.68E+04,-,0.74,0
YGR129W,Both,2.46E+03,-,0.66,0
YGR130C,Both,1.03E+04,-,0.77,0
YGR131W,None,-,-,0.28,0
YGR132C,Both,9.69E+03,-,0.74,0
YGR133W,Both,%,-,0.28,0
YGR134W,Both,1.32E+03,-,0.74,0
YGR135W,Both,1.71E+04,-,0.74,0
YGR136W,GFP,-,-,0.5,0
YGR137W,None,-,-,-0.25,1
YGR138C,GFP,-,-,0.62,0
YGR139W,None,-,-,0.13,1
YGR140W,Both,1.35E+03,2.05E+02,0.77,0
YGR141W,TAP,6.23E+02,-,0.46,0
YGR142W,Both,#,-,0.81,0
YGR143W,TAP,4.68E+02,-,0.66,0
YGR144W,None,-,-,0.64,0
YGR145W,None,-,-,0.83,0
YGR146C,TAP,5.89E+02,-,0.45,0
YGR147C,Both,1.24E+03,-,0.47,0
YGR148C,Both,3.69E+04,-,0.58,0
YGR149W,Both,#,-,0.41,0
YGR150C,Both,8.76E+02,-,0.71,0
YGR151C,GFP,-,-,-0.03,0
YGR152C,Both,%,-,0.64,0
YGR153W,None,-,-,0.45,0
YGR154C,None,-,-,0.66,0
YGR155W,Both,4.19E+04,-,0.78,0
YGR156W,Both,9.37E+02,-,0.48,0
YGR157W,Both,1.81E+03,-,0.66,0
YGR158C,Both,7.38E+03,-,0.68,0
YGR159C,Both,7.74E+04,-,0.71,0
YGR160W,None,-,-,0.51,0
YGR161C,Both,2.10E+03,-,0.45,0
YGR162W,Both,9.76E+03,-,0.85,0
YGR163W,Both,2.61E+03,-,0.53,0
YGR164W,None,-,-,0.09,1
YGR165W,Both,3.46E+03,-,0.56,0
YGR166W,Both,1.66E+03,-,0.53,0
YGR167W,Both,3.49E+03,-,0.81,0
YGR168C,None,-,-,0.32,0
YGR169C,TAP,3.77E+02,-,0.56,0
YGR170W,None,-,-,0.79,0
YGR171C,Both,3.12E+03,-,0.69,0
YGR172C,None,-,-,0.43,0
YGR173W,Both,6.20E+03,-,0.76,0
YGR174C,Both,7.04E+02,-,0.43,0
YGR175C,Both,6.54E+04,-,0.7,0
YGR176W,None,-,-,-0.23,1
YGR177C,Both,3.00E+03,-,0.67,0
YGR178C,Both,2.87E+03,-,0.77,0
YGR179C,Both,2.69E+03,-,0.62,0
YGR180C,Both,8.89E+04,-,0.72,0
YGR181W,None,-,-,0.54,0
YGR182C,None,-,-,0.02,1
YGR183C,Both,4.55E+03,-,0.43,0
YGR184C,None,-,-,0.85,0
YGR185C,Both,2.71E+03,3.05E+02,0.81,0
YGR186W,Both,1.92E+03,-,0.86,0
YGR187C,Both,2.08E+04,-,0.82,0
YGR188C,Both,4.14E+02,-,0.7,0
YGR189C,Both,2.95E+04,-,0.52,0
YGR190C,None,-,-,0.34,0
YGR191W,Both,6.88E+02,-,0.66,0
YGR192C,Both,1.69E+05,-,0.59,0
YGR193C,Both,4.14E+02,-,0.82,0
YGR194C,Both,3.46E+03,-,0.73,0
YGR195W,Both,5.15E+03,-,0.63,0
YGR196C,TAP,%,-,0.75,0
YGR197C,None,-,-,0.62,0
YGR198W,Both,1.64E+03,-,0.72,0
YGR199W,None,-,-,0.48,0
YGR200C,Both,6.09E+03,-,0.8,0
YGR201C,TAP,%,-,0.59,0
YGR202C,Both,3.05E+03,-,0.66,0
YGR203W,Both,2.31E+03,-,-0.07,0
YGR204W,Both,3.56E+04,-,0.71,0
YGR205W,Both,4.28E+03,-,0.56,0
YGR206W,Both,7.52E+02,-,0.41,0
YGR207C,Both,2.40E+03,-,0.74,0
YGR208W,Both,1.38E+04,-,0.72,0
YGR209C,Both,1.72E+04,-,0.59,0
YGR210C,Both,1.16E+04,-,0.53,0
YGR211W,Both,3.99E+04,-,0.81,0
YGR212W,None,-,-,0.51,0
YGR213C,None,-,-,0.39,0
YGR214W,Both,9.37E+04,-,0.65,0
YGR215W,GFP,-,-,0.42,0
YGR216C,None,-,-,0.47,0
YGR217W,GFP,-,-,0.68,0
YGR218W,Both,7.08E+03,-,0.85,0
YGR219W,GFP,-,-,0.13,0
YGR220C,Both,3.19E+03,-,0.55,0
YGR221C,TAP,5.69E+01,-,0.48,0
YGR222W,Both,7.99E+02,-,0.5,0
YGR223C,None,-,-,0.55,0
YGR224W,None,-,-,0.47,0
YGR225W,None,-,-,0.65,0
YGR226C,None,-,-,0.22,0
YGR227W,None,-,-,0.22,0
YGR228W,None,-,-,0.05,1
YGR229C,Both,5.68E+03,-,0.86,0
YGR230W,None,-,-,0.15,1
YGR231C,Both,2.85E+03,-,0.64,0
YGR232W,Both,3.19E+02,-,0.68,0
YGR233C,Both,2.93E+03,-,0.76,0
YGR234W,Both,1.30E+04,-,0.77,0
YGR235C,Both,5.22E+03,-,0.64,0
YGR236C,None,-,-,0.37,0
YGR237C,Both,1.05E+03,-,0.68,0
YGR238C,Both,4.68E+02,-,0.68,0
YGR239C,GFP,-,-,0.38,0
YGR240C,Both,8.98E+04,-,0.74,0
YGR241C,Both,6.80E+03,-,0.59,0
YGR242W,None,-,-,-0.04,1
YGR243W,Both,6.75E+03,-,0.25,0
YGR244C,GFP,-,-,0.83,0
YGR245C,TAP,3.64E+03,1.39E+02,0.87,0
YGR246C,Both,4.33E+03,5.89E+02,0.83,0
YGR247W,Both,1.52E+03,-,0.34,0
YGR248W,Both,4.32E+03,-,0.52,0
YGR249W,None,-,-,0.37,0
YGR250C,Both,1.91E+03,-,0.73,0
YGR251W,Both,1.46E+03,-,0.61,0
YGR252W,Both,1.18E+03,-,0.66,0
YGR253C,Both,1.71E+04,-,0.68,0
YGR254W,Both,7.67E+04,-,0.61,0
YGR255C,Both,2.94E+03,-,0.67,0
YGR256W,Both,5.56E+02,-,0.7,0
YGR257C,Both,5.38E+02,-,0.43,0
YGR258C,Both,8.46E+02,-,0.8,0
YGR259C,None,-,-,0.06,1
YGR260W,Both,#,-,0.62,0
YGR261C,Both,3.57E+03,-,0.83,0
YGR262C,Both,3.02E+03,-,0.51,0
YGR263C,Both,#,-,0.61,0
YGR264C,Both,8.50E+04,2.68E+04,0.83,0
YGR265W,None,-,-,0.1,1
YGR266W,Both,3.23E+03,-,0.78,0
YGR267C,Both,2.84E+03,-,0.64,0
YGR268C,GFP,-,-,0.15,0
YGR269W,Both,2.79E+02,-,0.2,0
YGR270W,Both,1.72E+02,-,0.85,0
YGR271C-A,Both,2.84E+03,-,0.53,0
YGR271W,Both,4.86E+02,-,0.85,0
YGR272C,GFP,-,-,0.59,0
YGR273C,None,-,-,0.59,0
YGR274C,Both,1.50E+03,-,0.89,0
YGR275W,Both,1.55E+03,-,0.6,0
YGR276C,None,-,-,0.81,0
YGR277C,Both,3.61E+03,-,0.38,0
YGR278W,Both,3.26E+03,-,0.66,0
YGR279C,Both,6.19E+03,-,0.55,0
YGR280C,Both,3.85E+03,-,0.52,0
YGR281W,Both,3.61E+03,-,0.85,0
YGR282C,Both,4.50E+04,-,0.65,0
YGR283C,Both,2.82E+03,-,0.62,0
YGR284C,Both,#,-,0.52,0
YGR285C,Both,8.64E+04,-,0.72,0
YGR286C,Both,5.04E+02,-,0.7,0
YGR287C,TAP,7.52E+02,-,0.73,0
YGR288W,None,-,-,0.51,0
YGR289C,None,-,-,0.65,0
YGR290W,None,-,-,0.22,1
YGR291C,None,-,-,0.13,1
YGR292W,TAP,5.06E+03,-,0.79,0
YGR293C,None,-,-,0.05,1
YGR294W,None,-,-,0.49,0
YGR295C,GFP,-,-,0.37,0
YGR296W,TAP,%,-,0.56,0
YHL001W,Both,3.51E+04,-,0.51,0
YHL002W,Both,3.58E+02,-,0.67,0
YHL003C,Both,#,-,0.55,0
YHL004W,Both,6.89E+03,-,0.76,0
YHL005C,None,-,-,-0.13,1
YHL006C,None,-,-,-0.1,1
YHL007C,Both,2.59E+02,-,0.78,0
YHL008C,Both,%,-,0.71,0
YHL009C,Both,1.68E+03,-,0.74,0
YHL010C,None,-,-,0.66,0
YHL011C,GFP,-,-,0.64,0
YHL012W,None,-,-,0.62,0
YHL013C,Both,1.72E+02,-,0.7,0
YHL014C,Both,2.36E+03,-,0.77,0
YHL015W,None,-,-,0.55,0
YHL016C,None,-,-,0.61,0
YHL017W,Both,1.46E+04,-,0.6,0
YHL018W,Both,7.52E+02,-,0.17,0
YHL019C,Both,2.89E+03,-,0.57,0
YHL020C,Both,1.28E+03,-,0.37,0
YHL021C,Both,5.80E+03,-,0.7,0
YHL022C,None,-,-,0.61,0
YHL023C,None,-,-,0.71,0
YHL024W,None,-,-,0.75,0
YHL025W,Both,2.90E+03,-,0.36,0
YHL026C,Both,8.30E+02,-,0.53,0
YHL027W,Both,1.82E+03,-,0.62,0
YHL028W,Both,#,-,0.11,0
YHL029C,Both,1.25E+04,-,0.58,0
YHL030W,Both,2.95E+03,-,0.84,0
YHL031C,None,-,-,0.28,0
YHL032C,GFP,-,-,0.63,0
YHL033C,Both,2.38E+05,-,0.6,0
YHL034C,Both,1.28E+04,-,0.72,0
